Date, Tournament, HomeTeam, AwayTeam, Referee, HomeGoals, AwayGoals, HomePosession, AwayPosession, HomeShots, AwayShots, HomeTarget, AwayTarget, HomeCorners, AwayCorners, HomeFouls, AwayFouls, HomeYellows, AwayYellows, HomeReds, AwayReds, HomexG, AwayxG, OddsW1, OddsX, OddsW2, OddsOver2.5, OddsUnder2.5, OddsBttsYes, OddsBttsNo

2025-12-14, "J3-Ascenso", "FC Osaka", "Miyazaki", "Yuzo Sutani", 0, 4, 51, 49, 12, 13, 3, 6, 9, 4, 17, 8, 3, 1, 0, 0, 0.63, 1.71, 1.91, 3.05, 3.60, 2.45, 1.50, 2.00, 1.73
2025-12-07, "J3-Ascenso", "Miyazaki", "Kagoshima United", "Toshihiro Nakai", 2, 0, 42, 58, 10, 11, 10, 11, 4, 4, 18, 8, 1, 0, 0, 0, 1.30, 0.93, 2.75, 3.40, 2.20, 1.85, 1.90, 1.65, 2.05
2025-12-07, "J3-Ascenso", "FC Osaka", "Zweigen Kanazawa", "Yosuke Kubota", 1, 0, 38, 62, 10, 17, 3, 7, 6, 6, 20, 15, 1, 2, 0, 0, 1.06, 1.49, 2.25, 3.20, 2.80, 1.95, 1.80, 1.73, 1.93
